YEAR,QUARTER,增值服务,广告,手机游戏,电子商务及其他,知识产品衍生品及其他,知识产权衍生品及其他（原名电子商务及其他）,总收入
2021,1,1496529000.0,714687000.0,1170746000.0,519111000.0,,,3901073000.0
2021,2,1634943000.0,1049149000.0,1233164000.0,577998000.0,,,4495254000.0
2021,3,1908896000.0,1171969000.0,1391666000.0,734043000.0,,,5206574000.0
2021,4,1894518000.0,1587616000.0,1295350000.0,1003299000.0,,,5780783000.0
2022,1,2052192000.0,1040770000.0,1357818000.0,603319000.0,,,5054099000.0
2022,2,2103458000.0,1158252000.0,1046236000.0,600985000.0,,,4908931000.0
2022,3,2209711000.0,1354834000.0,1471331000.0,757775000.0,,,5793651000.0
2022,4,2349809000.0,1512356000.0,1145905000.0,1134416000.0,,,6142486000.0
2023,1,2156224000.0,1271804000.0,1131619000.0,,,509964000.0,5069611000.0
2023,2,2301741000.0,1572840000.0,890884000.0,,,538734000.0,5304199000.0
2023,3,2595036000.0,1638232000.0,991776000.0,,,580037000.0,5805081000.0
2023,4,2857079000.0,1929164000.0,1006858000.0,,,555995000.0,6349096000.0
2024,1,2528909000.0,1668584000.0,982810000.0,,,484297000.0,5664600000.0
2024,2,2565888000.0,2037491000.0,1007367000.0,,1000695000.0,,6611441000.0
2024,3,2821269000.0,2094427000.0,1822609000.0,,567315000.0,,7305620000.0
2024,4,3083071000.0,2388673000.0,1797537000.0,,464880000.0,,7734161000.0
2025,1,2807340000.0,1997635000.0,1731155000.0,,467118000.0,,7003248000.0
